id,outcome,batter_side,batted_ball_type,hit_direction,hit_location,probability
101,TRIPLE,R,GROUNDBALL,PULL,5,1
102,TRIPLE,L,GROUNDBALL,PULL,3,1
103,TRIPLE,R,LINEDRIVE,PULL,"7LS,78S,7L,78","0.20,0.20,0.30,0.30"
104,TRIPLE,L,LINEDRIVE,PULL,"9LS,89S,9L,89","0.20,0.20,0.30,0.30"
105,TRIPLE,R,FLYBALL,PULL,"7L,78,7LD,78D,78XD","0.10,0.10,0.10,0.35,0.35"
106,TRIPLE,L,FLYBALL,PULL,"9L,89,9LD,89D,89XD","0.10,0.10,0.10,0.35,0.35"
107,TRIPLE,R,LINEDRIVE,CENT,"78,89,78D,89D","0.20,0.20,0.30,0.30"
108,TRIPLE,L,LINEDRIVE,CENT,"78,89,78D,89D","0.20,0.20,0.30,0.30"
109,TRIPLE,R,FLYBALL,CENT,"78D,89D,78XD,89XD,8XD","0.10,0.10,0.30,0.20,0.30"
110,TRIPLE,R,FLYBALL,CENT,"78D,89D,78XD,89XD,8XD","0.10,0.10,0.30,0.20,0.30"
111,TRIPLE,L,GROUNDBALL,OPPO,5,1
112,TRIPLE,R,GROUNDBALL,OPPO,3,1
113,TRIPLE,L,LINEDRIVE,OPPO,"7LS,78S,7L,78","0.20,0.20,0.30,0.30"
114,TRIPLE,R,LINEDRIVE,OPPO,"9LS,89S,9L,89","0.20,0.20,0.30,0.30"
115,TRIPLE,L,FLYBALL,OPPO,"7L,78,7LD,78D,78XD","0.10,0.10,0.10,0.35,0.35"
116,TRIPLE,R,FLYBALL,OPPO,"9L,89,9LD,89D,89XD","0.10,0.10,0.10,0.35,0.35"
