id,length,starting_pitch,sequence
1,4,B,"B, B, B, B"
2,5,B,"B, B, B, S, B"
3,5,B,"B, B, B, C, B"
4,5,B,"B, B, B, F, B"
5,5,B,"B, B, S, B, B"
6,5,B,"B, B, C, B, B"
7,5,B,"B, B, F, B, B"
8,5,B,"B, S, B, B, B"
9,5,B,"B, C, B, B, B"
10,5,B,"B, F, B, B, B"
11,5,S,"S, B, B, B, B"
12,5,C,"C, B, B, B, B"
13,5,F,"F, B, B, B, B"
14,6,B,"B, B, B, S, S, B"
15,6,B,"B, B, B, S, C, B"
16,6,B,"B, B, B, S, F, B"
17,6,B,"B, B, B, C, S, B"
18,6,B,"B, B, B, C, C, B"
19,6,B,"B, B, B, C, F, B"
20,6,B,"B, B, B, F, S, B"
21,6,B,"B, B, B, F, C, B"
22,6,B,"B, B, B, F, F, B"
23,6,B,"B, B, S, B, S, B"
24,6,B,"B, B, S, B, C, B"
25,6,B,"B, B, S, B, F, B"
26,6,B,"B, B, S, S, B, B"
27,6,B,"B, B, S, C, B, B"
28,6,B,"B, B, S, F, B, B"
29,6,B,"B, B, C, B, S, B"
30,6,B,"B, B, C, B, C, B"
31,6,B,"B, B, C, B, F, B"
32,6,B,"B, B, C, S, B, B"
33,6,B,"B, B, C, C, B, B"
34,6,B,"B, B, C, F, B, B"
35,6,B,"B, B, F, B, S, B"
36,6,B,"B, B, F, B, C, B"
37,6,B,"B, B, F, B, F, B"
38,6,B,"B, B, F, S, B, B"
39,6,B,"B, B, F, C, B, B"
40,6,B,"B, B, F, F, B, B"
41,6,B,"B, S, B, B, S, B"
42,6,B,"B, S, B, B, C, B"
43,6,B,"B, S, B, B, F, B"
44,6,B,"B, S, B, S, B, B"
45,6,B,"B, S, B, C, B, B"
46,6,B,"B, S, B, F, B, B"
47,6,B,"B, S, S, B, B, B"
48,6,B,"B, S, C, B, B, B"
49,6,B,"B, S, F, B, B, B"
50,6,B,"B, C, B, B, S, B"
51,6,B,"B, C, B, B, C, B"
52,6,B,"B, C, B, B, F, B"
53,6,B,"B, C, B, S, B, B"
54,6,B,"B, C, B, C, B, B"
55,6,B,"B, C, B, F, B, B"
56,6,B,"B, C, S, B, B, B"
57,6,B,"B, C, C, B, B, B"
58,6,B,"B, C, F, B, B, B"
59,6,B,"B, F, B, B, S, B"
60,6,B,"B, F, B, B, C, B"
61,6,B,"B, F, B, B, F, B"
62,6,B,"B, F, B, S, B, B"
63,6,B,"B, F, B, C, B, B"
64,6,B,"B, F, B, F, B, B"
65,6,B,"B, F, S, B, B, B"
66,6,B,"B, F, C, B, B, B"
67,6,B,"B, F, F, B, B, B"
68,6,S,"S, B, B, B, S, B"
69,6,S,"S, B, B, B, C, B"
70,6,S,"S, B, B, B, F, B"
71,6,S,"S, B, B, S, B, B"
72,6,S,"S, B, B, C, B, B"
73,6,S,"S, B, B, F, B, B"
74,6,S,"S, B, S, B, B, B"
75,6,S,"S, B, C, B, B, B"
76,6,S,"S, B, F, B, B, B"
77,6,S,"S, S, B, B, B, B"
78,6,S,"S, C, B, B, B, B"
79,6,S,"S, F, B, B, B, B"
80,6,C,"C, B, B, B, S, B"
81,6,C,"C, B, B, B, C, B"
82,6,C,"C, B, B, B, F, B"
83,6,C,"C, B, B, S, B, B"
84,6,C,"C, B, B, C, B, B"
85,6,C,"C, B, B, F, B, B"
86,6,C,"C, B, S, B, B, B"
87,6,C,"C, B, C, B, B, B"
88,6,C,"C, B, F, B, B, B"
89,6,C,"C, S, B, B, B, B"
90,6,C,"C, C, B, B, B, B"
91,6,C,"C, F, B, B, B, B"
92,6,F,"F, B, B, B, S, B"
93,6,F,"F, B, B, B, C, B"
94,6,F,"F, B, B, B, F, B"
95,6,F,"F, B, B, S, B, B"
96,6,F,"F, B, B, C, B, B"
97,6,F,"F, B, B, F, B, B"
98,6,F,"F, B, S, B, B, B"
99,6,F,"F, B, C, B, B, B"
100,6,F,"F, B, F, B, B, B"
101,6,F,"F, S, B, B, B, B"
102,6,F,"F, C, B, B, B, B"
103,6,F,"F, F, B, B, B, B"
104,7,B,"B, B, B, S, S, F, B"
105,7,B,"B, B, B, S, C, F, B"
106,7,B,"B, B, B, S, F, F, B"
107,7,B,"B, B, B, C, S, F, B"
108,7,B,"B, B, B, C, C, F, B"
109,7,B,"B, B, B, C, F, F, B"
110,7,B,"B, B, B, F, S, F, B"
111,7,B,"B, B, B, F, C, F, B"
112,7,B,"B, B, B, F, F, F, B"
113,7,B,"B, B, S, B, S, F, B"
114,7,B,"B, B, S, B, C, F, B"
115,7,B,"B, B, S, B, F, F, B"
116,7,B,"B, B, S, S, B, F, B"
117,7,B,"B, B, S, S, F, B, B"
118,7,B,"B, B, S, C, B, F, B"
119,7,B,"B, B, S, C, F, B, B"
120,7,B,"B, B, S, F, B, F, B"
121,7,B,"B, B, S, F, F, B, B"
122,7,B,"B, B, C, B, S, F, B"
123,7,B,"B, B, C, B, C, F, B"
124,7,B,"B, B, C, B, F, F, B"
125,7,B,"B, B, C, S, B, F, B"
126,7,B,"B, B, C, S, F, B, B"
127,7,B,"B, B, C, C, B, F, B"
128,7,B,"B, B, C, C, F, B, B"
129,7,B,"B, B, C, F, B, F, B"
130,7,B,"B, B, C, F, F, B, B"
131,7,B,"B, B, F, B, S, F, B"
132,7,B,"B, B, F, B, C, F, B"
133,7,B,"B, B, F, B, F, F, B"
134,7,B,"B, B, F, S, B, F, B"
135,7,B,"B, B, F, S, F, B, B"
136,7,B,"B, B, F, C, B, F, B"
137,7,B,"B, B, F, C, F, B, B"
138,7,B,"B, B, F, F, B, F, B"
139,7,B,"B, B, F, F, F, B, B"
140,7,B,"B, S, B, B, S, F, B"
141,7,B,"B, S, B, B, C, F, B"
142,7,B,"B, S, B, B, F, F, B"
143,7,B,"B, S, B, S, B, F, B"
144,7,B,"B, S, B, S, F, B, B"
145,7,B,"B, S, B, C, B, F, B"
146,7,B,"B, S, B, C, F, B, B"
147,7,B,"B, S, B, F, B, F, B"
148,7,B,"B, S, B, F, F, B, B"
149,7,B,"B, S, S, B, B, F, B"
150,7,B,"B, S, S, B, F, B, B"
151,7,B,"B, S, S, F, B, B, B"
152,7,B,"B, S, C, B, B, F, B"
153,7,B,"B, S, C, B, F, B, B"
154,7,B,"B, S, C, F, B, B, B"
155,7,B,"B, S, F, B, B, F, B"
156,7,B,"B, S, F, B, F, B, B"
157,7,B,"B, S, F, F, B, B, B"
158,7,B,"B, C, B, B, S, F, B"
159,7,B,"B, C, B, B, C, F, B"
160,7,B,"B, C, B, B, F, F, B"
161,7,B,"B, C, B, S, B, F, B"
162,7,B,"B, C, B, S, F, B, B"
163,7,B,"B, C, B, C, B, F, B"
164,7,B,"B, C, B, C, F, B, B"
165,7,B,"B, C, B, F, B, F, B"
166,7,B,"B, C, B, F, F, B, B"
167,7,B,"B, C, S, B, B, F, B"
168,7,B,"B, C, S, B, F, B, B"
169,7,B,"B, C, S, F, B, B, B"
170,7,B,"B, C, C, B, B, F, B"
171,7,B,"B, C, C, B, F, B, B"
172,7,B,"B, C, C, F, B, B, B"
173,7,B,"B, C, F, B, B, F, B"
174,7,B,"B, C, F, B, F, B, B"
175,7,B,"B, C, F, F, B, B, B"
176,7,B,"B, F, B, B, S, F, B"
177,7,B,"B, F, B, B, C, F, B"
178,7,B,"B, F, B, B, F, F, B"
179,7,B,"B, F, B, S, B, F, B"
180,7,B,"B, F, B, S, F, B, B"
181,7,B,"B, F, B, C, B, F, B"
182,7,B,"B, F, B, C, F, B, B"
183,7,B,"B, F, B, F, B, F, B"
184,7,B,"B, F, B, F, F, B, B"
185,7,B,"B, F, S, B, B, F, B"
186,7,B,"B, F, S, B, F, B, B"
187,7,B,"B, F, S, F, B, B, B"
188,7,B,"B, F, C, B, B, F, B"
189,7,B,"B, F, C, B, F, B, B"
190,7,B,"B, F, C, F, B, B, B"
191,7,B,"B, F, F, B, B, F, B"
192,7,B,"B, F, F, B, F, B, B"
193,7,B,"B, F, F, F, B, B, B"
194,7,S,"S, B, B, B, S, F, B"
195,7,S,"S, B, B, B, C, F, B"
196,7,S,"S, B, B, B, F, F, B"
197,7,S,"S, B, B, S, B, F, B"
198,7,S,"S, B, B, S, F, B, B"
199,7,S,"S, B, B, C, B, F, B"
200,7,S,"S, B, B, C, F, B, B"
201,7,S,"S, B, B, F, B, F, B"
202,7,S,"S, B, B, F, F, B, B"
203,7,S,"S, B, S, B, B, F, B"
204,7,S,"S, B, S, B, F, B, B"
205,7,S,"S, B, S, F, B, B, B"
206,7,S,"S, B, C, B, B, F, B"
207,7,S,"S, B, C, B, F, B, B"
208,7,S,"S, B, C, F, B, B, B"
209,7,S,"S, B, F, B, B, F, B"
210,7,S,"S, B, F, B, F, B, B"
211,7,S,"S, B, F, F, B, B, B"
212,7,S,"S, S, B, B, B, F, B"
213,7,S,"S, S, B, B, F, B, B"
214,7,S,"S, S, B, F, B, B, B"
215,7,S,"S, S, F, B, B, B, B"
216,7,S,"S, C, B, B, B, F, B"
217,7,S,"S, C, B, B, F, B, B"
