id,length,starting_pitch,sequence
1,3,S,"S, F, S"
2,3,S,"S, F, C"
3,3,C,"C, F, S"
4,3,C,"C, F, C"
5,3,F,"F, F, S"
6,3,F,"F, F, C"
7,4,B,"B, S, F, S"
8,4,B,"B, S, F, C"
9,4,B,"B, C, F, S"
10,4,B,"B, C, F, C"
11,4,B,"B, F, F, S"
12,4,B,"B, F, F, C"
13,4,S,"S, B, F, S"
14,4,S,"S, B, F, C"
15,4,S,"S, F, B, S"
16,4,S,"S, F, B, C"
17,4,S,"S, F, F, S"
18,4,S,"S, F, F, C"
19,4,C,"C, B, F, S"
20,4,C,"C, B, F, C"
21,4,C,"C, F, B, S"
22,4,C,"C, F, B, C"
23,4,C,"C, F, F, S"
24,4,C,"C, F, F, C"
25,4,F,"F, B, F, S"
26,4,F,"F, B, F, C"
27,4,F,"F, F, B, S"
28,4,F,"F, F, B, C"
29,4,F,"F, F, F, S"
30,4,F,"F, F, F, C"
31,5,B,"B, B, S, F, S"
32,5,B,"B, B, S, F, C"
33,5,B,"B, B, C, F, S"
34,5,B,"B, B, C, F, C"
35,5,B,"B, B, F, F, S"
36,5,B,"B, B, F, F, C"
37,5,B,"B, S, B, F, S"
38,5,B,"B, S, B, F, C"
39,5,B,"B, S, F, B, S"
40,5,B,"B, S, F, B, C"
41,5,B,"B, S, F, F, S"
42,5,B,"B, S, F, F, C"
43,5,B,"B, C, B, F, S"
44,5,B,"B, C, B, F, C"
45,5,B,"B, C, F, B, S"
46,5,B,"B, C, F, B, C"
47,5,B,"B, C, F, F, S"
48,5,B,"B, C, F, F, C"
49,5,B,"B, F, B, F, S"
50,5,B,"B, F, B, F, C"
51,5,B,"B, F, F, B, S"
52,5,B,"B, F, F, B, C"
53,5,B,"B, F, F, F, S"
54,5,B,"B, F, F, F, C"
55,5,S,"S, B, B, F, S"
56,5,S,"S, B, B, F, C"
57,5,S,"S, B, F, B, S"
58,5,S,"S, B, F, B, C"
59,5,S,"S, B, F, F, S"
60,5,S,"S, B, F, F, C"
61,5,S,"S, F, B, B, S"
62,5,S,"S, F, B, B, C"
63,5,S,"S, F, B, F, S"
64,5,S,"S, F, B, F, C"
65,5,S,"S, F, F, B, S"
