id ,outcome,base_state,batter_side,batted_ball_type,hit_direction,hit_location,R3_scr,R3_adv,R3_out,R2_scr,R2_adv,R2_out,R1_scr,R1_adv,R1_out
101,DOUBLE,RUNNER_ON_FIRST,R,GROUNDBALL,PULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
102,DOUBLE,RUNNER_ON_FIRST,L,GROUNDBALL,PULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
103,DOUBLE,RUNNER_ON_FIRST,R,FLYBALL,PULL,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
104,DOUBLE,RUNNER_ON_FIRST,L,FLYBALL,PULL,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
105,DOUBLE,RUNNER_ON_FIRST,R,LINEDRIVE,PULL,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
106,DOUBLE,RUNNER_ON_FIRST,L,LINEDRIVE,PULL,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
107,DOUBLE,RUNNER_ON_FIRST,R,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
108,DOUBLE,RUNNER_ON_FIRST,L,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
109,DOUBLE,RUNNER_ON_FIRST,R,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
110,DOUBLE,RUNNER_ON_FIRST,L,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
111,DOUBLE,RUNNER_ON_FIRST,L,GROUNDBALL,OPPO,5,NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
112,DOUBLE,RUNNER_ON_FIRST,R,GROUNDBALL,OPPO,3,NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
113,DOUBLE,RUNNER_ON_FIRST,L,FLYBALL,OPPO,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
114,DOUBLE,RUNNER_ON_FIRST,R,FLYBALL,OPPO,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
115,DOUBLE,RUNNER_ON_FIRST,L,LINEDRIVE,OPPO,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
116,DOUBLE,RUNNER_ON_FIRST,R,LINEDRIVE,OPPO,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.42,NULL,0.03
117,DOUBLE,FIRST_AND_SECOND,R,GROUNDBALL,PULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
118,DOUBLE,FIRST_AND_SECOND,L,GROUNDBALL,PULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
119,DOUBLE,FIRST_AND_SECOND,R,FLYBALL,PULL,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
120,DOUBLE,FIRST_AND_SECOND,L,FLYBALL,PULL,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
121,DOUBLE,FIRST_AND_SECOND,R,LINEDRIVE,PULL,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
122,DOUBLE,FIRST_AND_SECOND,L,LINEDRIVE,PULL,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
123,DOUBLE,FIRST_AND_SECOND,R,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
124,DOUBLE,FIRST_AND_SECOND,L,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
125,DOUBLE,FIRST_AND_SECOND,R,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
126,DOUBLE,FIRST_AND_SECOND,L,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
127,DOUBLE,FIRST_AND_SECOND,L,GROUNDBALL,OPPO,5,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
128,DOUBLE,FIRST_AND_SECOND,R,GROUNDBALL,OPPO,3,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
129,DOUBLE,FIRST_AND_SECOND,L,FLYBALL,OPPO,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
130,DOUBLE,FIRST_AND_SECOND,R,FLYBALL,OPPO,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
131,DOUBLE,FIRST_AND_SECOND,L,LINEDRIVE,OPPO,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
132,DOUBLE,FIRST_AND_SECOND,R,LINEDRIVE,OPPO,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,0.03
133,DOUBLE,FIRST_AND_THIRD,R,GROUNDBALL,PULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
134,DOUBLE,FIRST_AND_THIRD,L,GROUNDBALL,PULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
135,DOUBLE,FIRST_AND_THIRD,R,FLYBALL,PULL,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
136,DOUBLE,FIRST_AND_THIRD,L,FLYBALL,PULL,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
137,DOUBLE,FIRST_AND_THIRD,R,LINEDRIVE,PULL,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
138,DOUBLE,FIRST_AND_THIRD,L,LINEDRIVE,PULL,"9LS,9L,9LD,89,89D",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
139,DOUBLE,FIRST_AND_THIRD,R,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
140,DOUBLE,FIRST_AND_THIRD,L,FLYBALL,CENT,"78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
141,DOUBLE,FIRST_AND_THIRD,R,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
142,DOUBLE,FIRST_AND_THIRD,L,LINEDRIVE,CENT,"78,89,78D,89D,78XD,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
143,DOUBLE,FIRST_AND_THIRD,L,GROUNDBALL,OPPO,5,NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
144,DOUBLE,FIRST_AND_THIRD,R,GROUNDBALL,OPPO,3,NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
145,DOUBLE,FIRST_AND_THIRD,L,FLYBALL,OPPO,"7LD,7D,78D,78XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
146,DOUBLE,FIRST_AND_THIRD,R,FLYBALL,OPPO,"9LD,9D,89D,89XD",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
147,DOUBLE,FIRST_AND_THIRD,L,LINEDRIVE,OPPO,"7LS,7L,7LD,78,78D",NULL,NULL,NULL,NULL,NULL,NULL,0.55,NULL,0.03
