id ,outcome,base_state,batter_side,batted_ball_type,hit_direction,hit_location,R3_scr,R3_adv,R3_out,R2_scr,R2_adv,R2_out,R1_scr,R1_adv,R1_out
101,SINGLE,RUNNER_ON_FIRST,R,GROUNDBALL,PULL,"5,56,6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.01
102,SINGLE,RUNNER_ON_FIRST,L,GROUNDBALL,PULL,"3,34,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0.01
103,SINGLE,RUNNER_ON_FIRST,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.25,0.015
104,SINGLE,RUNNER_ON_FIRST,L,FLYBALL,PULL,"9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,0.01
105,SINGLE,RUNNER_ON_FIRST,R,LINEDRIVE,PULL,"5D,56D,6D,7LS,7S,78S,7L,7,78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.01
106,SINGLE,RUNNER_ON_FIRST,L,LINEDRIVE,PULL,"3D,34D,4D,9LS,9S,89S,9L,9,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,0.01
107,SINGLE,RUNNER_ON_FIRST,R,POPUP,PULL,"5D,56D,6D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,SINGLE,RUNNER_ON_FIRST,L,POPUP,PULL,"3D,34D,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,SINGLE,RUNNER_ON_FIRST,R,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0.01
110,SINGLE,RUNNER_ON_FIRST,L,GROUNDBALL,CENT,"6,6M,4M,4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0.01
111,SINGLE,RUNNER_ON_FIRST,R,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0.02
112,SINGLE,RUNNER_ON_FIRST,L,FLYBALL,CENT,"78S,8S,89S,78,8,89",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0.02
113,SINGLE,RUNNER_ON_FIRST,R,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.31,0.01
114,SINGLE,RUNNER_ON_FIRST,L,LINEDRIVE,CENT,"6D,6MD,4MD,4D,78S,8S,89S,78,8,89,78D,8D,89D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.31,0.01
115,SINGLE,RUNNER_ON_FIRST,R,POPUP,CENT,"6D,6MD,4MD,4D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
