id,leag_id,TM,POS,AGE,FIRST,LAST,B,T,AVG,OBP,BABIP,SLG,OPS,ISO,CLU,SPD,FLD,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,HBP,OUT,GROUNDOUT,FLYOUT,LINEOUT,POPOUT
1,11038,LAD,CF,34,Kevin,Kiermaier,L,R,0.197,0.237,0.272,0.313,0.55,0.116,-0.31,6.9,0.999,0.403,0.343,0.254,0.149,0.602,0.249,0.12181818181818181,0.034545454545454546,0.005454545454545455,0.02,0.05454545454545454,0.28363636363636363,0.007272727272727273,0.4727272727272727,0.49682875264270615,0.2642706131078224,0.15644820295983086,0.0824524312896406
2,19755,LAD,DH,29,Shohei,Ohtani,L,R,0.31,0.39,0.336,0.646,1.036,0.336,-0.46,8.1,0.999,0.424,0.347,0.23,0.106,0.449,0.445,0.13506493506493505,0.05194805194805195,0.00909090909090909,0.07142857142857142,0.10909090909090909,0.22077922077922077,0.007792207792207792,0.3948051948051948,0.3596153846153846,0.38653846153846155,0.22692307692307692,0.026923076923076925
3,13066,LAD,LF,31,Teoscar,Hernandez,R,R,0.272,0.339,0.344,0.501,0.84,0.229,0.26,4.4,0.999,0.361,0.361,0.279,0.139,0.498,0.363,0.14366197183098592,0.04788732394366197,0.0028169014084507044,0.04788732394366197,0.08169014084507042,0.28169014084507044,0.011267605633802818,0.38309859154929576,0.45770065075921906,0.3470715835140998,0.1648590021691974,0.03036876355748373
4,5361,LAD,1B,34,Freddie,Freeman,L,R,0.282,0.378,0.306,0.476,0.854,0.194,-0.78,4.1,0.999,0.353,0.336,0.311,0.124,0.549,0.327,0.146875,0.0546875,0.003125,0.034375,0.121875,0.1578125,0.015625,0.465625,0.3812636165577342,0.3812636165577342,0.22440087145969498,0.013071895424836602
5,19197,LAD,C,29,Will,Smith,R,R,0.248,0.327,0.273,0.433,0.76,0.185,0.69,3.2,0.999,0.339,0.386,0.275,0.114,0.542,0.344,0.13090909090909092,0.04363636363636364,0.0036363636363636364,0.03636363636363636,0.09272727272727273,0.19454545454545455,0.016363636363636365,0.4818181818181818,0.32653061224489793,0.4642857142857143,0.18877551020408162,0.02040816326530612
6,13611,LAD,SS,31,Mookie,Betts,R,R,0.289,0.372,0.294,0.491,0.863,0.202,-0.06,6.3,0.999,0.35,0.403,0.247,0.141,0.537,0.322,0.15818181818181817,0.045454545454545456,0.00909090909090909,0.03636363636363636,0.11636363636363636,0.11636363636363636,0.0018181818181818182,0.5163636363636364,0.27191011235955054,0.451685393258427,0.2292134831460674,0.04719101123595506
7,19955,LAD,2B,26,Gavin,Lux,L,R,0.251,0.32,0.312,0.383,0.703,0.132,0.84,4.3,0.999,0.381,0.402,0.218,0.19,0.508,0.302,0.1509090909090909,0.04727272727272727,0.0036363636363636364,0.02,0.0890909090909091,0.22545454545454546,0.0036363636363636364,0.46,0.4713216957605985,0.28428927680798005,0.20199501246882792,0.04239401496259352
8,24816,LAD,RF,23,Andy,Pages,R,R,0.248,0.305,0.304,0.407,0.712,0.159,-0.28,3.3,0.999,0.418,0.328,0.254,0.181,0.485,0.334,0.14181818181818182,0.04909090909090909,0.0018181818181818182,0.02909090909090909,0.06727272727272728,0.24,0.012727272727272728,0.4581818181818182,0.3493975903614458,0.38795180722891565,0.20240963855421687,0.060240963855421686
9,10472,LAD,3B,32,Enrique,Hernandez,R,R,0.229,0.281,0.257,0.373,0.654,0.144,0.93,1.6,0.999,0.37,0.377,0.253,0.125,0.522,0.353,0.13818181818181818,0.04,0.0,0.02909090909090909,0.07090909090909091,0.20545454545454545,0.0018181818181818182,0.5145454545454545,0.39072847682119205,0.36423841059602646,0.17880794701986755,0.06622516556291391
10,13301,LAD,3B,33,Max,Muncy,L,R,0.232,0.358,0.265,0.494,0.852,0.262,-0.66,3.0,0.999,0.482,0.319,0.199,0.157,0.512,0.331,0.10363636363636364,0.04909090909090909,0.0,0.04,0.11454545454545455,0.25272727272727274,0.012727272727272728,0.42727272727272725,0.3792325056433409,0.34988713318284426,0.17155756207674944,0.09932279909706546
11,13757,LAD,LF,33,Chris,Taylor,R,R,0.202,0.298,0.289,0.3,0.598,0.099,-0.1,5.3,0.999,0.379,0.35,0.271,0.2,0.479,0.321,0.12545454545454546,0.03272727272727273,0.0036363636363636364,0.02,0.08727272727272728,0.28,0.007272727272727273,0.44363636363636366,0.45473684210526316,0.28210526315789475,0.1726315789473684,0.09052631578947369
12,12158,LAD,C,34,Austin,Barnes,R,R,0.264,0.331,0.35,0.307,0.638,0.043,0.61,3.6,0.999,0.377,0.358,0.264,0.189,0.585,0.226,0.1618181818181818,0.03636363636363636,0.0018181818181818182,0.02181818181818182,0.08,0.22727272727272727,0.005454545454545455,0.46545454545454545,0.47346938775510206,0.2510204081632653,0.17142857142857143,0.10408163265306122
13,19470,LAD,CF,29,Tommy,Edman,B,R,0.237,0.294,0.257,0.417,0.711,0.18,0.24,6.8,0.999,0.396,0.333,0.27,0.162,0.505,0.333,0.13454545454545455,0.038181818181818185,0.0036363636363636364,0.03090909090909091,0.07272727272727272,0.22727272727272727,0.007272727272727273,0.48545454545454547,0.4682080924855491,0.27167630057803466,0.16184971098265896,0.09826589595375723
