id,outcome,base_state,text_description
1,WILDPITCH,BASES_EMPTY,"{pitcher} SPIKES ONE IN THE DIRT, BUT WITH NO RUNNERS, NO DAMAGE DONE."
2,WILDPITCH,BASES_EMPTY,"WILD PITCH! {pitcher} LOSES HIS GRIP, BUT NOBODY IS ON BASE."
3,WILDPITCH,BASES_EMPTY,"{pitcher} THROWS ONE TO THE BACKSTOP, BUT NO RUNNERS TO ADVANCE."
4,WILDPITCH,BASES_EMPTY,"THAT ONE GOT AWAY FROM {pitcher}, BUT NO ONE TO TAKE ADVANTAGE."
5,WILDPITCH,BASES_EMPTY,"A WILD ONE FROM {pitcher}, BUT NO BASE RUNNERS MEANS NO HARM."
6,WILDPITCH,BASES_EMPTY,"{pitcher} LOSES CONTROL! THE CATCHER BLOCKS IT, BUT THERE'S NO THREAT."
7,WILDPITCH,BASES_EMPTY,"BALL SKIPS PAST THE CATCHER, BUT NO RUNNERS MEANS NO CONSEQUENCES."
8,WILDPITCH,BASES_EMPTY,"A WILD PITCH FROM {pitcher}! LUCKILY, THE BASES ARE EMPTY."
9,WILDPITCH,BASES_EMPTY,THAT FASTBALL SLIPPED! {pitcher} FIRES ONE TO THE BACKSTOP.
10,WILDPITCH,BASES_EMPTY,"{pitcher} UNLEASHES ONE TO THE BACK WALL—THANKFULLY, NO RUNNERS ON."
11,WILDPITCH,RUNNER_ON_FIRST,WILD PITCH! {batter} WATCHES AS THE RUNNER TAKES SECOND BASE!
12,WILDPITCH,RUNNER_ON_FIRST,THAT ONE GOT AWAY FROM {pitcher}! THE RUNNER ADVANCES TO SECOND.
13,WILDPITCH,RUNNER_ON_FIRST,{pitcher} SPIKES IT IN THE DIRT! THE RUNNER MOVES UP!
14,WILDPITCH,RUNNER_ON_FIRST,BALL IN THE DIRT! NO CHANCE FOR THE CATCHER—THE RUNNER TAKES SECOND.
15,WILDPITCH,RUNNER_ON_FIRST,WILD PITCH FROM {pitcher}! THE RUNNER MOVES INTO SCORING POSITION!
16,WILDPITCH,RUNNER_ON_FIRST,A COSTLY MISTAKE FROM {pitcher}—THE RUNNER TAKES SECOND EASILY.
17,WILDPITCH,RUNNER_ON_FIRST,THAT BALL GETS PAST THE CATCHER! RUNNER MOVES UP TO SECOND!
18,WILDPITCH,RUNNER_ON_FIRST,"TOO FAR INSIDE! {pitcher} LOSES CONTROL, RUNNER TAKES SECOND BASE."
19,WILDPITCH,RUNNER_ON_FIRST,A BOUNCER TO THE BACKSTOP! RUNNER ADVANCES ON THE WILD PITCH!
20,WILDPITCH,RUNNER_ON_FIRST,{batter} SEES THE RUNNER MOVE AS {pitcher} LOSES CONTROL!
21,WILDPITCH,RUNNER_ON_SECOND,WILD PITCH! THE RUNNER DASHES TO THIRD BASE!
22,WILDPITCH,RUNNER_ON_SECOND,"MISSED LOCATION! {pitcher} LOSES IT, AND THE RUNNER TAKES THIRD!"
23,WILDPITCH,RUNNER_ON_SECOND,{batter} WATCHES AS A WILD PITCH LETS THE RUNNER ADVANCE TO THIRD!
24,WILDPITCH,RUNNER_ON_SECOND,THAT ONE SKIPS AWAY! THE RUNNER TAKES THIRD BASE EASILY.
25,WILDPITCH,RUNNER_ON_SECOND,"{pitcher} SPIKES ONE—NO CHANCE FOR THE CATCHER, RUNNER TO THIRD!"
26,WILDPITCH,RUNNER_ON_SECOND,BIG OPPORTUNITY NOW! WILD PITCH MOVES THE RUNNER TO THIRD.
27,WILDPITCH,RUNNER_ON_SECOND,"BACKSTOP BOUNCE! {pitcher} PAYS FOR HIS MISTAKE, RUNNER ON THIRD."
28,WILDPITCH,RUNNER_ON_SECOND,TOO FAR INSIDE! THE RUNNER HUSTLES AND TAKES THIRD BASE!
29,WILDPITCH,RUNNER_ON_SECOND,{batter} HOLDS BACK AS {pitcher} LOSES CONTROL—RUNNER MOVES UP!
30,WILDPITCH,RUNNER_ON_SECOND,A SLIDER IN THE DIRT GETS AWAY! RUNNER NOW JUST 90 FEET AWAY.
31,WILDPITCH,RUNNER_ON_THIRD,WILD PITCH! THE RUNNER SPRINTS HOME AND SCORES!
32,WILDPITCH,RUNNER_ON_THIRD,THAT ONE GETS AWAY—AND THE RUNNER COMES IN TO SCORE!
33,WILDPITCH,RUNNER_ON_THIRD,"COSTLY MISTAKE! {pitcher} UNLEASHES A WILD PITCH, AND A RUN SCORES!"
34,WILDPITCH,RUNNER_ON_THIRD,THE CROWD REACTS AS THE RUNNER TAKES OFF—SAFE AT HOME!
35,WILDPITCH,RUNNER_ON_THIRD,A BRUTAL BREAK FOR {pitcher}! WILD PITCH BRINGS IN A RUN!
36,WILDPITCH,RUNNER_ON_THIRD,"{pitcher} SPIKES IT—NO CHANCE FOR THE CATCHER, AND THE RUN SCORES!"
37,WILDPITCH,RUNNER_ON_THIRD,{batter} WATCHES AS A RUN SCORES ON A WILD PITCH!
38,WILDPITCH,RUNNER_ON_THIRD,TOO FAR INSIDE—AND THE RUNNER TAKES HOME PLATE!
39,WILDPITCH,RUNNER_ON_THIRD,NO CHANCE TO STOP THAT ONE! THE RUNNER SCORES ON A WILD PITCH!
40,WILDPITCH,RUNNER_ON_THIRD,"FREE RUN! {pitcher} LOSES CONTROL, AND THE RUNNER SCORES!"
41,WILDPITCH,FIRST_AND_SECOND,WILD PITCH! BOTH RUNNERS ADVANCE—NOW SECOND AND THIRD!
42,WILDPITCH,FIRST_AND_SECOND,A COSTLY SLIP FROM {pitcher}! THE RUNNERS MOVE INTO SCORING POSITION!
43,WILDPITCH,FIRST_AND_SECOND,THAT BALL GETS AWAY! RUNNERS MOVE UP TO SECOND AND THIRD!
44,WILDPITCH,FIRST_AND_SECOND,"MISSED LOCATION! THE CATCHER CAN'T STOP IT, RUNNERS ADVANCE!"
45,WILDPITCH,FIRST_AND_SECOND,TOO FAR OUTSIDE! BOTH RUNNERS TAKE AN EXTRA BASE!
46,WILDPITCH,FIRST_AND_SECOND,BAD PITCH FROM {pitcher}! DOUBLE ADVANCEMENT ON THE BASE PATHS!
47,WILDPITCH,FIRST_AND_SECOND,"THE CATCHER CHASES IT, BUT TOO LATE—BOTH RUNNERS ADVANCE!"
48,WILDPITCH,FIRST_AND_SECOND,{pitcher} CAN'T FIND THE ZONE! WILD PITCH MOVES UP BOTH RUNNERS!
49,WILDPITCH,FIRST_AND_SECOND,"BIG MISTAKE! {pitcher} LOSES CONTROL, AND THE RUNNERS MOVE UP!"
50,WILDPITCH,FIRST_AND_SECOND,A BRUTAL SLIP! {batter} SEES BOTH RUNNERS ADVANCE!
51,WILDPITCH,FIRST_AND_THIRD,"WILD PITCH! RUNNER FROM THIRD SCORES, AND THE TRAIL RUNNER MOVES UP!"
52,WILDPITCH,FIRST_AND_THIRD,"{pitcher} LOSES IT! RUN COMES HOME, AND NOW A RUNNER ON SECOND!"
53,WILDPITCH,FIRST_AND_THIRD,"TOO FAR INSIDE! THE RUNNER TAKES HOME, AND ANOTHER ONE ADVANCES!"
54,WILDPITCH,FIRST_AND_THIRD,A RUN SCORES ON THE WILD PITCH! THE OTHER RUNNER MOVES UP!
55,WILDPITCH,FIRST_AND_THIRD,"THAT ONE GOT AWAY BADLY! A RUNNER SCORES, AND THE OTHER TAKES SECOND!"
56,WILDPITCH,FIRST_AND_THIRD,THE THROW BACK IS TOO LATE! A RUN SCORES ON THE WILD PITCH!
57,WILDPITCH,FIRST_AND_THIRD,"{pitcher} SPIKES ONE, AND THE RUNNER FROM THIRD TAKES HOME!"
58,WILDPITCH,FIRST_AND_THIRD,"THE RUNNER FROM THIRD SCORES, AND THE OTHER MOVES INTO SCORING POSITION!"
