id,outcome,batter_side,batted_ball_type,hit_direction,hit_location,probability
101,FLYOUT,R,FLYBALL,PULL,"7LS,7S,78S,7L,7,78,7LD,7D,78D,78XD,7LSF,7LF,7LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
102,FLYOUT,L,FLYBALL,PULL,"9LS,9S,89S,9LS,9,89,9LD,9D,89D,89XD,9LSF,9LF,9LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
103,FLYOUT,R,FLYBALL,CENT,"78S,8S,89S,78,8,89,78D,8D,89D,78XD,8XD,89XD","0.02,0.03,0.02,0.15,0.15,0.15,0.12,0.12,0.12,0.04,0.04,0.04"
104,FLYOUT,L,FLYBALL,CENT,"78S,8S,89S,78,8,89,78D,8D,89D,78XD,8XD,89XD","0.02,0.03,0.02,0.15,0.15,0.15,0.12,0.12,0.12,0.04,0.04,0.04"
105,FLYOUT,L,FLYBALL,OPPO,"7LS,7S,78S,7L,7,78,7LD,7D,78D,78XD,7LSF,7LF,7LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
106,FLYOUT,R,FLYBALL,OPPO,"9LS,9S,89S,9LS,9,89,9LD,9D,89D,89XD,9LSF,9LF,9LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
107,FLYOUT,R,LINEDRIVE,PULL,"7LS,7S,78S,7L,7,78,7LD,7D,78D,78XD,7LSF,7LF,7LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
108,FLYOUT,L,LINEDRIVE,PULL,"9LS,9S,89S,9LS,9,89,9LD,9D,89D,89XD,9LSF,9LF,9LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
109,FLYOUT,R,LINEDRIVE,CENT,"78S,8S,89S,78,8,89,78D,8D,89D,78XD,8XD,89XD","0.02,0.03,0.02,0.15,0.15,0.15,0.12,0.12,0.12,0.04,0.04,0.04"
110,FLYOUT,L,LINEDRIVE,CENT,"78S,8S,89S,78,8,89,78D,8D,89D,78XD,8XD,89XD","0.02,0.03,0.02,0.15,0.15,0.15,0.12,0.12,0.12,0.04,0.04,0.04"
111,FLYOUT,L,LINEDRIVE,OPPO,"7LS,7S,78S,7L,7,78,7LD,7D,78D,78XD,7LSF,7LF,7LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
112,FLYOUT,R,LINEDRIVE,OPPO,"9LS,9S,89S,9LS,9,89,9LD,9D,89D,89XD,9LSF,9LF,9LDF","0.10,0.10,0.10,0.12,0.12,0.12,0.08,0.08,0.08,0.07,0.015,0.010,0.005"
