id,outcome,batter_side,batted_ball_type,hit_direction,hit_location,probability
101,HOMERUN,R,FLYBALL,PULL,"7LD,7D,78XD","0.20,0.50,0.30"
102,HOMERUN,L,FLYBALL,PULL,"9LD,9D,89XD","0.20,0.50,0.30"
103,HOMERUN,R,LINEDRIVE,PULL,"7LD,7D,78XD","0.20,0.50,0.30"
104,HOMERUN,L,LINEDRIVE,PULL,"9LD,9D,89XD","0.20,0.50,0.30"
105,HOMERUN,R,FLYBALL,CENT,"78XD,8XD,89XD","0.30,0.40,0.30"
106,HOMERUN,L,FLYBALL,CENT,"78XD,8XD,89XD","0.30,0.40,0.30"
107,HOMERUN,R,LINEDRIVE,CENT,"78XD,8XD,89XD","0.30,0.40,0.30"
108,HOMERUN,L,LINEDRIVE,CENT,"78XD,8XD,89XD","0.30,0.40,0.30"
109,HOMERUN,L,FLYBALL,OPPO,"7LD,7D,78XD","0.20,0.50,0.30"
110,HOMERUN,R,FLYBALL,OPPO,"9LD,9D,89XD","0.20,0.50,0.30"
111,HOMERUN,L,LINEDRIVE,OPPO,"7LD,7D,78XD","0.20,0.50,0.30"
112,HOMERUN,R,LINEDRIVE,OPPO,"9LD,9D,89XD","0.20,0.50,0.30"
