id,length,starting_pitch,sequence
1,1,H,H
2,2,B,"B, H"
3,2,S,"S, H"
4,2,C,"C, H"
5,2,F,"F, H"
6,3,B,"B, B, H"
7,3,B,"B, S, H"
8,3,B,"B, C, H"
9,3,B,"B, F, H"
10,3,S,"S, B, H"
11,3,S,"S, F, H"
12,3,C,"C, B, H"
13,3,C,"C, F, H"
14,3,F,"F, B, H"
15,3,F,"F, F, H"
16,4,B,"B, B, B, H"
17,4,B,"B, B, S, H"
18,4,B,"B, B, C, H"
19,4,B,"B, B, F, H"
20,4,B,"B, S, B, H"
21,4,B,"B, S, F, H"
22,4,B,"B, C, B, H"
23,4,B,"B, C, F, H"
24,4,B,"B, F, B, H"
25,4,B,"B, F, F, H"
26,4,S,"S, B, B, H"
27,4,S,"S, B, F, H"
28,4,S,"S, F, B, H"
29,4,S,"S, F, F, H"
30,4,C,"C, B, B, H"
31,4,C,"C, B, F, H"
32,4,C,"C, F, B, H"
33,4,C,"C, F, F, H"
34,4,F,"F, B, B, H"
35,4,F,"F, B, F, H"
36,4,F,"F, F, B, H"
37,4,F,"F, F, F, H"
38,5,B,"B, B, B, S, H"
39,5,B,"B, B, B, C, H"
40,5,B,"B, B, B, F, H"
41,5,B,"B, B, S, B, H"
42,5,B,"B, B, S, F, H"
43,5,B,"B, B, C, B, H"
44,5,B,"B, B, C, F, H"
45,5,B,"B, B, F, B, H"
46,5,B,"B, B, F, F, H"
47,5,B,"B, S, B, B, H"
48,5,B,"B, S, B, F, H"
49,5,B,"B, S, F, B, H"
50,5,B,"B, S, F, F, H"
51,5,B,"B, C, B, B, H"
52,5,B,"B, C, B, F, H"
53,5,B,"B, C, F, B, H"
54,5,B,"B, C, F, F, H"
55,5,B,"B, F, B, B, H"
56,5,B,"B, F, B, F, H"
57,5,B,"B, F, F, B, H"
58,5,B,"B, F, F, F, H"
59,5,S,"S, B, B, B, H"
60,5,S,"S, B, B, F, H"
61,5,S,"S, B, F, B, H"
62,5,S,"S, B, F, F, H"
63,5,S,"S, F, B, B, H"
64,5,S,"S, F, B, F, H"
65,5,S,"S, F, F, B, H"
66,5,S,"S, F, F, F, H"
67,5,C,"C, B, B, B, H"
68,5,C,"C, B, B, F, H"
69,5,C,"C, B, F, B, H"
70,5,C,"C, B, F, F, H"
71,5,C,"C, F, B, B, H"
72,5,C,"C, F, B, F, H"
73,5,C,"C, F, F, B, H"
74,5,C,"C, F, F, F, H"
75,5,F,"F, B, B, B, H"
76,5,F,"F, B, B, F, H"
77,5,F,"F, B, F, B, H"
78,5,F,"F, B, F, F, H"
79,5,F,"F, F, B, B, H"
80,5,F,"F, F, B, F, H"
81,5,F,"F, F, F, B, H"
82,5,F,"F, F, F, F, H"
83,6,B,"B, B, B, S, F, H"
84,6,B,"B, B, B, C, F, H"
85,6,B,"B, B, B, F, F, H"
86,6,B,"B, B, S, B, F, H"
87,6,B,"B, B, S, F, B, H"
88,6,B,"B, B, S, F, F, H"
89,6,B,"B, B, C, B, F, H"
90,6,B,"B, B, C, F, B, H"
91,6,B,"B, B, C, F, F, H"
92,6,B,"B, B, F, B, F, H"
93,6,B,"B, B, F, F, B, H"
94,6,B,"B, B, F, F, F, H"
95,6,B,"B, S, B, B, F, H"
96,6,B,"B, S, B, F, B, H"
97,6,B,"B, S, B, F, F, H"
98,6,B,"B, S, F, B, B, H"
99,6,B,"B, S, F, B, F, H"
100,6,B,"B, S, F, F, B, H"
101,6,B,"B, S, F, F, F, H"
102,6,B,"B, C, B, B, F, H"
103,6,B,"B, C, B, F, B, H"
104,6,B,"B, C, B, F, F, H"
105,6,B,"B, C, F, B, B, H"
106,6,B,"B, C, F, B, F, H"
107,6,B,"B, C, F, F, B, H"
108,6,B,"B, C, F, F, F, H"
109,6,B,"B, F, B, B, F, H"
110,6,B,"B, F, B, F, B, H"
111,6,B,"B, F, B, F, F, H"
112,6,B,"B, F, F, B, B, H"
113,6,B,"B, F, F, B, F, H"
114,6,B,"B, F, F, F, B, H"
115,6,B,"B, F, F, F, F, H"
116,6,S,"S, B, B, B, F, H"
117,6,S,"S, B, B, F, B, H"
118,6,S,"S, B, B, F, F, H"
119,6,S,"S, B, F, B, B, H"
120,6,S,"S, B, F, B, F, H"
121,6,S,"S, B, F, F, B, H"
122,6,S,"S, B, F, F, F, H"
123,6,S,"S, F, B, B, B, H"
124,6,S,"S, F, B, B, F, H"
125,6,S,"S, F, B, F, B, H"
126,6,S,"S, F, B, F, F, H"
127,6,S,"S, F, F, B, B, H"
128,6,S,"S, F, F, B, F, H"
129,6,S,"S, F, F, F, B, H"
130,6,S,"S, F, F, F, F, H"
131,6,C,"C, B, B, B, F, H"
132,6,C,"C, B, B, F, B, H"
133,6,C,"C, B, B, F, F, H"
134,6,C,"C, B, F, B, B, H"
135,6,C,"C, B, F, B, F, H"
136,6,C,"C, B, F, F, B, H"
137,6,C,"C, B, F, F, F, H"
138,6,C,"C, F, B, B, B, H"
139,6,C,"C, F, B, B, F, H"
140,6,C,"C, F, B, F, B, H"
141,6,C,"C, F, B, F, F, H"
142,6,C,"C, F, F, B, B, H"
143,6,C,"C, F, F, B, F, H"
144,6,C,"C, F, F, F, B, H"
145,6,C,"C, F, F, F, F, H"
146,6,F,"F, B, B, B, F, H"
147,6,F,"F, B, B, F, B, H"
148,6,F,"F, B, B, F, F, H"
149,6,F,"F, B, F, B, B, H"
150,6,F,"F, B, F, B, F, H"
151,6,F,"F, B, F, F, B, H"
152,6,F,"F, B, F, F, F, H"
153,6,F,"F, F, B, B, B, H"
154,6,F,"F, F, B, B, F, H"
155,6,F,"F, F, B, F, B, H"
156,6,F,"F, F, B, F, F, H"
157,6,F,"F, F, F, B, B, H"
158,6,F,"F, F, F, B, F, H"
159,6,F,"F, F, F, F, B, H"
160,6,F,"F, F, F, F, F, H"
161,7,B,"B, B, B, S, F, F, H"
162,7,B,"B, B, B, C, F, F, H"
163,7,B,"B, B, B, F, F, F, H"
164,7,B,"B, B, S, B, F, F, H"
165,7,B,"B, B, S, F, B, F, H"
166,7,B,"B, B, S, F, F, B, H"
167,7,B,"B, B, S, F, F, F, H"
168,7,B,"B, B, C, B, F, F, H"
169,7,B,"B, B, C, F, B, F, H"
170,7,B,"B, B, C, F, F, B, H"
171,7,B,"B, B, C, F, F, F, H"
172,7,B,"B, B, F, B, F, F, H"
173,7,B,"B, B, F, F, B, F, H"
174,7,B,"B, B, F, F, F, B, H"
175,7,B,"B, B, F, F, F, F, H"
176,7,B,"B, S, B, B, F, F, H"
177,7,B,"B, S, B, F, B, F, H"
178,7,B,"B, S, B, F, F, B, H"
179,7,B,"B, S, B, F, F, F, H"
180,7,B,"B, S, F, B, B, F, H"
181,7,B,"B, S, F, B, F, B, H"
182,7,B,"B, S, F, B, F, F, H"
183,7,B,"B, S, F, F, B, B, H"
184,7,B,"B, S, F, F, B, F, H"
185,7,B,"B, S, F, F, F, B, H"
186,7,B,"B, S, F, F, F, F, H"
187,7,B,"B, C, B, B, F, F, H"
188,7,B,"B, C, B, F, B, F, H"
189,7,B,"B, C, B, F, F, B, H"
190,7,B,"B, C, B, F, F, F, H"
191,7,B,"B, C, F, B, B, F, H"
192,7,B,"B, C, F, B, F, B, H"
193,7,B,"B, C, F, B, F, F, H"
194,7,B,"B, C, F, F, B, B, H"
195,7,B,"B, C, F, F, B, F, H"
196,7,B,"B, C, F, F, F, B, H"
197,7,B,"B, C, F, F, F, F, H"
198,7,B,"B, F, B, B, F, F, H"
199,7,B,"B, F, B, F, B, F, H"
200,7,B,"B, F, B, F, F, B, H"
201,7,B,"B, F, B, F, F, F, H"
202,7,B,"B, F, F, B, B, F, H"
203,7,B,"B, F, F, B, F, B, H"
204,7,B,"B, F, F, B, F, F, H"
205,7,B,"B, F, F, F, B, B, H"
206,7,B,"B, F, F, F, B, F, H"
207,7,B,"B, F, F, F, F, B, H"
208,7,B,"B, F, F, F, F, F, H"
209,7,S,"S, B, B, B, F, F, H"
210,7,S,"S, B, B, F, B, F, H"
211,7,S,"S, B, B, F, F, B, H"
212,7,S,"S, B, B, F, F, F, H"
213,7,S,"S, B, F, B, B, F, H"
214,7,S,"S, B, F, B, F, B, H"
215,7,S,"S, B, F, B, F, F, H"
216,7,S,"S, B, F, F, B, B, H"
217,7,S,"S, B, F, F, B, F, H"
218,7,S,"S, B, F, F, F, B, H"
219,7,S,"S, B, F, F, F, F, H"
220,7,S,"S, F, B, B, B, F, H"
221,7,S,"S, F, B, B, F, B, H"
222,7,S,"S, F, B, B, F, F, H"
223,7,S,"S, F, B, F, B, B, H"
224,7,S,"S, F, B, F, B, F, H"
225,7,S,"S, F, B, F, F, B, H"
226,7,S,"S, F, B, F, F, F, H"
227,7,S,"S, F, F, B, B, B, H"
228,7,S,"S, F, F, B, B, F, H"
229,7,S,"S, F, F, B, F, B, H"
