outcome,pitch_length,probability
single,1,0.163787102
single,2,0.214392959
single,3,0.199547212
single,4,0.160060162
single,5,0.125886207
single,6,0.079637036
single,7,0.034137271
single,8,0.013902439
single,9,0.005468566
single,10,0.002055189
single,11,0.00069438
single,12,0.000431476
double,1,0.163787102
double,2,0.214392959
double,3,0.199547212
double,4,0.160060162
double,5,0.125886207
double,6,0.079637036
double,7,0.034137271
double,8,0.013902439
double,9,0.005468566
double,10,0.002055189
double,11,0.00069438
double,12,0.000431476
triple,1,0.163787102
triple,2,0.214392959
triple,3,0.199547212
triple,4,0.160060162
triple,5,0.125886207
triple,6,0.079637036
triple,7,0.034137271
triple,8,0.013902439
triple,9,0.005468566
triple,10,0.002055189
triple,11,0.00069438
triple,12,0.000431476
homerun,1,0.163787102
homerun,2,0.214392959
homerun,3,0.199547212
homerun,4,0.160060162
homerun,5,0.125886207
homerun,6,0.079637036
homerun,7,0.034137271
homerun,8,0.013902439
homerun,9,0.005468566
homerun,10,0.002055189
homerun,11,0.00069438
homerun,12,0.000431476
groundball,1,0.163787102
groundball,2,0.214392959
groundball,3,0.199547212
groundball,4,0.160060162
groundball,5,0.125886207
groundball,6,0.079637036
groundball,7,0.034137271
groundball,8,0.013902439
groundball,9,0.005468566
groundball,10,0.002055189
groundball,11,0.00069438
groundball,12,0.000431476
flyball,1,0.163787102
flyball,2,0.214392959
flyball,3,0.199547212
flyball,4,0.160060162
flyball,5,0.125886207
flyball,6,0.079637036
flyball,7,0.034137271
flyball,8,0.013902439
flyball,9,0.005468566
flyball,10,0.002055189
flyball,11,0.00069438
flyball,12,0.000431476
lineball,1,0.163787102
lineball,2,0.214392959
lineball,3,0.199547212
lineball,4,0.160060162
lineball,5,0.125886207
lineball,6,0.079637036
lineball,7,0.034137271
lineball,8,0.013902439
lineball,9,0.005468566
lineball,10,0.002055189
lineball,11,0.00069438
lineball,12,0.000431476
popball,1,0.163787102
popball,2,0.214392959
popball,3,0.199547212
popball,4,0.160060162
popball,5,0.125886207
popball,6,0.079637036
popball,7,0.034137271
popball,8,0.013902439
popball,9,0.005468566
popball,10,0.002055189
popball,11,0.00069438
popball,12,0.000431476
walk,1,0.0
walk,2,0.0
walk,3,0.0
walk,4,0.169762924
walk,5,0.291101296
walk,6,0.295305528
walk,7,0.146351273
walk,8,0.060650214
walk,9,0.023457184
walk,10,0.008727195
walk,11,0.002974835
walk,12,0.00166955
hbp,1,0.222906911
hbp,2,0.203074425
hbp,3,0.203830795
hbp,4,0.158404058
hbp,5,0.110652592
hbp,6,0.055704481
hbp,7,0.025349543
hbp,8,0.011434546
hbp,9,0.005105503
hbp,10,0.002057773
hbp,11,0.00096771
hbp,12,0.000511663
strikethree,1,0.0
strikethree,2,0.0
strikethree,3,0.178322288
strikethree,4,0.276486746
strikethree,5,0.258191271
strikethree,6,0.175913411
strikethree,7,0.069647606
strikethree,8,0.026489471
strikethree,9,0.009589183
strikethree,10,0.003501591
strikethree,11,0.001190814
strikethree,12,0.000667619
