id,leag_id,TM,POS,AGE,FIRST,LAST,B,T,AVG,OBP,BABIP,SLG,OPS,ISO,CLU,SPD,FLD,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,HBP,OUT,GROUNDOUT,FLYOUT,LINEOUT,POPOUT,
1,20123,NYY,RF,25,Juan,Soto,L,L,0.288,0.419,0.298,0.569,0.989,0.281,-0.49,4.3,0.999,0.451,0.347,0.202,0.126,0.447,0.427,0.128571429,0.042857143,0.005194805,0.054545455,0.174025974,0.168831169,0.005194805,0.42077922,0.426640927,0.33976834,0.194980695,0.038610038,
2,15640,NYY,CF,32,Aaron,Judge,R,R,0.322,0.458,0.367,0.701,1.159,0.379,-2.72,3.9,0.999,0.4,0.349,0.251,0.074,0.451,0.474,0.124675325,0.050649351,0.001298701,0.077922078,0.180519481,0.237662338,0.011688312,0.315584414,0.317073171,0.427937916,0.219512195,0.035476718,
3,27647,NYY,SS,23,Anthony,Volpe,R,R,0.243,0.293,0.303,0.364,0.657,0.121,1.3,7.1,0.999,0.321,0.403,0.276,0.158,0.593,0.249,0.157746479,0.038028169,0.009859155,0.016901408,0.06056338,0.226760563,0.005633803,0.484507043,0.487329435,0.276803119,0.204678363,0.031189083,
4,16997,NYY,2B,27,Gleyber,Torres,R,R,0.257,0.33,0.306,0.378,0.709,0.121,0.15,2.6,0.999,0.341,0.338,0.321,0.141,0.594,0.265,0.164788732,0.03943662,0,0.022535211,0.095774648,0.205633803,0.004225352,0.467605634,0.363106796,0.378640777,0.217475728,0.040776699,
5,17027,NYY,LF,28,Alex,Verdugo,L,L,0.233,0.291,0.253,0.356,0.647,0.123,0.86,2.9,0.999,0.372,0.343,0.285,0.144,0.542,0.314,0.140625,0.04375,0.0015625,0.0203125,0.078125,0.153125,0.0015625,0.5609375,0.48015873,0.327380952,0.16468254,0.027777778,
6,20454,NYY,3B,26,Jazz,Chisholm,L,R,0.256,0.324,0.309,0.436,0.76,0.18,-0.4,6.3,0.999,0.444,0.376,0.18,0.141,0.517,0.342,0.1515625,0.0328125,0.00625,0.0375,0.084375,0.24375,0.00625,0.4375,0.474770642,0.337155963,0.155963303,0.032110092,
7,4949,NYY,DH,34,Giancarlo,Stanton,R,R,0.233,0.298,0.281,0.475,0.773,0.242,-0.66,0.8,0.999,0.435,0.355,0.21,0.181,0.377,0.442,0.114545455,0.043636364,0,0.052727273,0.081818182,0.298181818,0.003636364,0.405454544,0.386010363,0.370466321,0.160621762,0.082901554,
8,27562,NYY,C,24,Austin,Wells,L,R,0.229,0.322,0.261,0.395,0.718,0.167,0.18,2.3,0.999,0.404,0.327,0.269,0.164,0.498,0.338,0.121818182,0.041818182,0.001818182,0.029090909,0.103636364,0.216363636,0.010909091,0.474545454,0.39088729,0.35971223,0.182254197,0.067146283,
9,3473,NYY,1B,34,Anthony,Rizzo,L,L,0.228,0.301,0.259,0.335,0.637,0.107,0.61,1.5,0.999,0.449,0.277,0.274,0.204,0.558,0.237,0.147272727,0.034545455,0,0.023636364,0.072727273,0.192727273,0.018181818,0.51090909,0.435622318,0.293991416,0.186695279,0.083690987,
10,21707,NYY,3B,25,Oswaldo,Cabrera,B,R,0.247,0.296,0.286,0.365,0.661,0.117,-0.59,4.1,0.999,0.386,0.386,0.228,0.178,0.556,0.266,0.158181818,0.038181818,0,0.025454545,0.069090909,0.205454545,0.005454545,0.49818182,0.443478261,0.302173913,0.17826087,0.076086956,
11,16725,NYY,C,31,Jose,Trevino,R,R,0.215,0.288,0.228,0.354,0.642,0.139,-0.89,2.8,0.999,0.392,0.374,0.234,0.158,0.608,0.234,0.130909091,0.030909091,0.001818182,0.029090909,0.076363636,0.218181818,0.007272727,0.505454546,0.463937622,0.286549708,0.159844055,0.089668615,
12,18564,NYY,CF,27,Trent,Grisham,L,L,0.19,0.29,0.217,0.385,0.675,0.196,0.25,2.1,0.999,0.496,0.304,0.2,0.128,0.568,0.304,0.105454545,0.036363636,0.001818182,0.030909091,0.08,0.267272727,0.010909091,0.467272728,0.445759369,0.303747535,0.149901381,0.100591715,
13,28080,NYY,LF,21,Jasson,Dominguez,B,R,0.179,0.313,0.229,0.304,0.617,0.125,-0.33,5.7,0.999,0.541,0.27,0.189,0.216,0.405,0.378,0.104477612,0.014925373,0,0.029850746,0.164179104,0.28358209,0,0.402985075,0.575,0.2,0.15,0.075,
1,11038,LAD,CF,34,Kevin,Kiermaier,L,R,0.197,0.237,0.272,0.313,0.55,0.116,-0.31,6.9,0.999,0.403,0.343,0.254,0.149,0.602,0.249,0.121818182,0.034545455,0.005454545,0.02,0.054545455,0.283636364,0.007272727,0.472727272,0.496828753,0.264270613,0.156448203,0.082452431,
2,19755,LAD,DH,29,Shohei,Ohtani,L,R,0.31,0.39,0.336,0.646,1.036,0.336,-0.46,8.1,0.999,0.424,0.347,0.23,0.106,0.449,0.445,0.135064935,0.051948052,0.009090909,0.071428571,0.109090909,0.220779221,0.007792208,0.394805195,0.359615385,0.386538462,0.226923077,0.026923076,
3,13066,LAD,LF,31,Teoscar,Hernandez,R,R,0.272,0.339,0.344,0.501,0.84,0.229,0.26,4.4,0.999,0.361,0.361,0.279,0.139,0.498,0.363,0.143661972,0.047887324,0.002816901,0.047887324,0.081690141,0.281690141,0.011267606,0.383098591,0.457700651,0.347071584,0.164859002,0.030368763,
4,5361,LAD,1B,34,Freddie,Freeman,L,R,0.282,0.378,0.306,0.476,0.854,0.194,-0.78,4.1,0.999,0.353,0.336,0.311,0.124,0.549,0.327,0.146875,0.0546875,0.003125,0.034375,0.121875,0.1578125,0.015625,0.465625,0.381263617,0.381263617,0.224400871,0.013071895,
5,19197,LAD,C,29,Will,Smith,R,R,0.248,0.327,0.273,0.433,0.76,0.185,0.69,3.2,0.999,0.339,0.386,0.275,0.114,0.542,0.344,0.130909091,0.043636364,0.003636364,0.036363636,0.092727273,0.194545455,0.016363636,0.481818181,0.326530612,0.464285714,0.18877551,0.020408164,
6,13611,LAD,SS,31,Mookie,Betts,R,R,0.289,0.372,0.294,0.491,0.863,0.202,-0.06,6.3,0.999,0.35,0.403,0.247,0.141,0.537,0.322,0.158181818,0.045454545,0.009090909,0.036363636,0.116363636,0.116363636,0.001818182,0.516363638,0.271910112,0.451685393,0.229213483,0.047191012,
7,19955,LAD,2B,26,Gavin,Lux,L,R,0.251,0.32,0.312,0.383,0.703,0.132,0.84,4.3,0.999,0.381,0.402,0.218,0.19,0.508,0.302,0.150909091,0.047272727,0.003636364,0.02,0.089090909,0.225454545,0.003636364,0.46,0.471321696,0.284289277,0.201995012,0.042394015,
8,24816,LAD,RF,23,Andy,Pages,R,R,0.248,0.305,0.304,0.407,0.712,0.159,-0.28,3.3,0.999,0.418,0.328,0.254,0.181,0.485,0.334,0.141818182,0.049090909,0.001818182,0.029090909,0.067272727,0.24,0.012727273,0.458181818,0.34939759,0.387951807,0.202409639,0.060240964,
9,10472,LAD,3B,32,Enrique,Hernandez,R,R,0.229,0.281,0.257,0.373,0.654,0.144,0.93,1.6,0.999,0.37,0.377,0.253,0.125,0.522,0.353,0.138181818,0.04,0,0.029090909,0.070909091,0.205454545,0.001818182,0.514545455,0.390728477,0.364238411,0.178807947,0.066225165,
10,13301,LAD,3B,33,Max,Muncy,L,R,0.232,0.358,0.265,0.494,0.852,0.262,-0.66,3,0.999,0.482,0.319,0.199,0.157,0.512,0.331,0.103636364,0.049090909,0,0.04,0.114545455,0.252727273,0.012727273,0.427272726,0.379232506,0.349887133,0.171557562,0.099322799,
11,13757,LAD,LF,33,Chris,Taylor,R,R,0.202,0.298,0.289,0.3,0.598,0.099,-0.1,5.3,0.999,0.379,0.35,0.271,0.2,0.479,0.321,0.125454545,0.032727273,0.003636364,0.02,0.087272727,0.28,0.007272727,0.443636364,0.454736842,0.282105263,0.172631579,0.090526316,
