id,leag_id,TM,POS,AGE,FIRST,LAST,B,T,AVG,ERA,BABIP,K/9,BB/9,K/BB,H/9,HR/9,CLU,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,HBP,OUT,GROUNDOUT,FLYOUT,LINEOUT,POPOUT
1,16814,NYY,RP,34,Tim,Hill,R,L,0.285,3.36,0.316,4.16,2.55,1.63,10.34,0.27,0.24,0.343,0.372,0.285,0.201,0.51,0.289,0.203665988,0.030549898,0,0.014256619,0.069246436,0.154786151,0.00610998,0.521384929,0.586046512,0.195348837,0.160465116,0.058139535
2,15042,NYY,RP,32,Tim,Mayza,L,L,0.302,6.33,0.336,5.91,3.16,1.87,11.39,1.05,-0.84,0.344,0.397,0.258,0.146,0.596,0.258,0.167088608,0.053164557,0.005063291,0.027848101,0.078481013,0.17721519,0.007594937,0.483544304,0.463636364,0.278787879,0.187878788,0.06969697
3,21052,NYY,SP,26,Luis,Gil,R,R,0.188,3.5,0.237,10.15,4.57,2.22,6.17,1.07,0.59,0.429,0.305,0.266,0.168,0.511,0.321,0.08988764,0.042134831,0.002808989,0.026685393,0.113764045,0.271067416,0.011235955,0.44241573,0.357285429,0.399201597,0.163672655,0.079840319
4,13125,NYY,SP,33,Gerrit,Cole,R,R,0.22,3.41,0.273,9.38,2.75,3.41,7.39,1.04,0.35,0.371,0.34,0.289,0.18,0.488,0.332,0.155932203,0.037288136,0.001694915,0.025423729,0.071186441,0.259322034,0.011864407,0.437288136,0.416666667,0.337301587,0.160714286,0.08531746
5,16137,NYY,SP,31,Carlos,Rodon,L,L,0.235,3.96,0.284,10.03,2.93,3.42,8.07,1.59,1.07,0.399,0.344,0.257,0.143,0.521,0.335,0.132098765,0.041975309,0.004938272,0.039506173,0.07654321,0.264197531,0.012345679,0.428395062,0.346221441,0.44112478,0.16168717,0.050966608
6,19899,NYY,SP,28,Clarke,Schmidt,R,R,0.226,2.85,0.296,9.81,3.16,3.1,7.49,0.84,0.64,0.407,0.321,0.271,0.213,0.52,0.267,0.13562387,0.036166365,0.005424955,0.021699819,0.077757685,0.265822785,0.018083183,0.439421338,0.427645788,0.311015119,0.172786177,0.088552916
7,13649,NYY,RP,31,Clay,Holmes,R,R,0.244,3.14,0.322,9.71,3.14,3.09,8.57,0.57,-0.64,0.433,0.376,0.191,0.185,0.522,0.292,0.152866242,0.040339703,0,0.01910828,0.074309979,0.252653928,0.008492569,0.452229299,0.55163728,0.219143577,0.158690176,0.070528967
8,13431,NYY,SP,33,Marcus,Stroman,R,R,0.275,4.31,0.312,6.58,3.49,1.88,9.72,1.11,1.4,0.4,0.394,0.207,0.148,0.527,0.325,0.168,0.041333333,0.005333333,0.028,0.086666667,0.173333333,0.010666667,0.486666667,0.47826087,0.293913043,0.191304348,0.036521739
9,16918,NYY,RP,30,Luke,Weaver,R,R,0.173,2.89,0.223,11.04,2.79,3.96,5.57,1.07,1.45,0.409,0.384,0.207,0.141,0.581,0.278,0.096045198,0.028248588,0.007532957,0.026365348,0.069679849,0.308851224,0.009416196,0.45386064,0.422413793,0.334051724,0.161637931,0.081896552
10,19261,NYY,RP,29,Ian,Hamilton,R,R,0.253,3.82,0.34,9.8,3.35,2.93,8.84,0.48,0.82,0.39,0.324,0.286,0.133,0.657,0.21,0.140495868,0.049586777,0,0.019283747,0.077134986,0.250688705,0.011019284,0.451790634,0.459375,0.26875,0.184375,0.0875
11,21620,NYY,RP,29,Jake,Cousins,R,R,0.154,2.37,0.208,12.55,4.74,2.65,4.74,1.18,0.22,0.377,0.416,0.208,0.234,0.506,0.26,0.092957746,0.01971831,0.002816901,0.025352113,0.087323944,0.329577465,0.016901408,0.425352113,0.45915493,0.273239437,0.163380282,0.104225352
12,11384,NYY,RP,34,Tommy,Kahnle,R,R,0.19,2.11,0.234,9.7,4.01,2.42,6.33,1.05,0,0.491,0.357,0.152,0.125,0.616,0.259,0.100263852,0.039577836,0,0.023746702,0.081794195,0.277044855,0.007915567,0.469656992,0.509641873,0.253443526,0.154269972,0.082644628
1,17282,LAD,RP,28,Michael,Kopech,R,R,0.183,3.46,0.245,11.7,4.52,2.59,5.85,1.2,-0.27,0.395,0.362,0.243,0.138,0.559,0.303,0.108559499,0.022964509,0,0.027139875,0.09394572,0.308977035,0.012526096,0.425887265,0.43627451,0.321078431,0.161764706,0.080882353
2,16466,LAD,RP,29,Brent,Honeywell,R,R,0.235,2.63,0.252,4.3,2.63,1.64,7.65,0.72,0.05,0.347,0.381,0.271,0.144,0.525,0.331,0.136363636,0.047272727,0.001818182,0.025454545,0.074545455,0.203636364,0.009090909,0.501818182,0.465250965,0.272200772,0.16988417,0.092664093
3,33825,LAD,SP,25,Yoshinobu,Yamamoto,R,R,0.226,3,0.305,10.5,2.2,4.77,7.8,0.7,-0.15,0.396,0.358,0.246,0.146,0.529,0.325,0.133802817,0.052816901,0.003521127,0.019366197,0.061619718,0.279929577,0.003521127,0.445422535,0.471458774,0.276955603,0.181818182,0.069767442
4,12572,LAD,RP,36,Blake,Treinen,R,R,0.193,1.93,0.255,10.8,2.12,5.09,6.36,0.96,-0.15,0.435,0.313,0.252,0.165,0.539,0.296,0.114583333,0.0390625,0,0.0234375,0.059895833,0.296875,0.0078125,0.458333333,0.461956522,0.288043478,0.157608696,0.092391304
5,17734,LAD,RP,29,Evan,Phillips,R,R,0.229,3.62,0.298,10.37,2.8,3.71,7.9,0.99,0.29,0.32,0.408,0.272,0.197,0.565,0.238,0.128504673,0.042056075,0,0.025700935,0.070093458,0.271028037,0.004672897,0.457943925,0.441489362,0.305851064,0.17287234,0.079787234
6,14706,LAD,RP,30,Anthony,Banda,L,L,0.233,3.08,0.291,9.06,3.26,2.78,7.97,0.91,0.71,0.367,0.353,0.281,0.187,0.482,0.331,0.149144254,0.026894866,0.002444988,0.024449878,0.075794621,0.251833741,0.007334963,0.462102689,0.456284153,0.286885246,0.166666667,0.090163934
7,27487,LAD,SP,26,Landon,Knack,L,R,0.219,3.65,0.242,9,2.35,3.83,7.57,1.83,0.54,0.505,0.291,0.204,0.138,0.51,0.352,0.12345679,0.034979424,0.004115226,0.037037037,0.063786008,0.255144033,0.008230453,0.473251029,0.390022676,0.351473923,0.167800454,0.090702948
8,5615,LAD,RP,36,Ryan,Brasier,R,R,0.21,3.54,0.247,8.04,1.61,5,7.07,0.96,-0.27,0.45,0.325,0.225,0.125,0.525,0.35,0.129090909,0.041818182,0.003636364,0.025454545,0.065454545,0.245454545,0.005454545,0.483636364,0.469945355,0.265938069,0.162112933,0.102003643
