pitches,1,2,3,4,5,6,7,8,9,10,11,12
1,X,BX,BBX,BBBX,BBBSX,BBBSFX,BBBSFFX,BBBSFFFX,BBBSFFFFX,BBBSFFFFFX,BBBSFFFFFFX,BBBSFFFFFFFX
2,,SX,BSX,BBSX,BBBCX,BBBCFX,BBBCFFX,BBBCFFFX,BBBCFFFFX,BBBCFFFFFX,BBBCFFFFFFX,BBBCFFFFFFFX
3,,CX,BCX,BBCX,BBBFX,BBBFFX,BBBFFFX,BBBFFFFX,BBBFFFFFX,BBBFFFFFFX,BBBFFFFFFFX,BBSBFFFFFFFX
4,,FX,BFX,BBFX,BBSBX,BBSBFX,BBSBFFX,BBSBFFFX,BBSBFFFFX,BBSBFFFFFX,BBSBFFFFFFX,BBSFBFFFFFFX
5,,,SBX,BSBX,BBSFX,BBSFBX,BBSFBFX,BBSFBFFX,BBSFBFFFX,BBSFBFFFFX,BBSFBFFFFFX,BBSFFBFFFFFX
6,,,SFX,BSFX,BBCBX,BBSFFX,BBSFFBX,BBSFFBFX,BBSFFBFFX,BBSFFBFFFX,BBSFFBFFFFX,BBSFFFBFFFFX
7,,,CBX,BCBX,BBCFX,BBCBFX,BBSFFFX,BBSFFFBX,BBSFFFBFX,BBSFFFBFFX,BBSFFFBFFFX,BBSFFFFBFFFX
8,,,CFX,BCFX,BBFBX,BBCFBX,BBCBFFX,BBSFFFFX,BBSFFFFBX,BBSFFFFBFX,BBSFFFFBFFX,BBSFFFFFBFFX
9,,,FBX,BFBX,BBFFX,BBCFFX,BBCFBFX,BBCBFFFX,BBSFFFFFX,BBSFFFFFBX,BBSFFFFFBFX,BBSFFFFFFBFX
10,,,FFX,BFFX,BSBBX,BBFBFX,BBCFFBX,BBCFBFFX,BBCBFFFFX,BBSFFFFFFX,BBSFFFFFFBX,BBSFFFFFFFBX
11,,,,SBBX,BSBFX,BBFFBX,BBCFFFX,BBCFFBFX,BBCFBFFFX,BBCBFFFFFX,BBSFFFFFFFX,BBCBFFFFFFFX
12,,,,SBFX,BSFBX,BBFFFX,BBFBFFX,BBCFFFBX,BBCFFBFFX,BBCFBFFFFX,BBCBFFFFFFX,BBCFBFFFFFFX
13,,,,SFBX,BSFFX,BSBBFX,BBFFBFX,BBCFFFFX,BBCFFFBFX,BBCFFBFFFX,BBCFBFFFFFX,BBCFFBFFFFFX
14,,,,SFFX,BCBBX,BSBFBX,BBFFFBX,BBFBFFFX,BBCFFFFBX,BBCFFFBFFX,BBCFFBFFFFX,BBCFFFBFFFFX
15,,,,CBBX,BCBFX,BSBFFX,BBFFFFX,BBFFBFFX,BBCFFFFFX,BBCFFFFBFX,BBCFFFBFFFX,BBCFFFFBFFFX
16,,,,CBFX,BCFBX,BSFBBX,BSBBFFX,BBFFFBFX,BBFBFFFFX,BBCFFFFFBX,BBCFFFFBFFX,BBCFFFFFBFFX
17,,,,CFBX,BCFFX,BSFBFX,BSBFBFX,BBFFFFBX,BBFFBFFFX,BBCFFFFFFX,BBCFFFFFBFX,BBCFFFFFFBFX
18,,,,CFFX,BFBBX,BSFFBX,BSBFFBX,BBFFFFFX,BBFFFBFFX,BBFBFFFFFX,BBCFFFFFFBX,BBCFFFFFFFBX
19,,,,FBBX,BFBFX,BSFFFX,BSBFFFX,BSBBFFFX,BBFFFFBFX,BBFFBFFFFX,BBCFFFFFFFX,BBFBFFFFFFFX
20,,,,FBFX,BFFBX,BCBBFX,BSFBBFX,BSBFBFFX,BBFFFFFBX,BBFFFBFFFX,BBFBFFFFFFX,BBFFBFFFFFFX
21,,,,FFBX,BFFFX,BCBFBX,BSFBFBX,BSBFFBFX,BBFFFFFFX,BBFFFFBFFX,BBFFBFFFFFX,BBFFFBFFFFFX
22,,,,FFFX,SBBBX,BCBFFX,BSFBFFX,BSBFFFBX,BSBBFFFFX,BBFFFFFBFX,BBFFFBFFFFX,BBFFFFBFFFFX
23,,,,,SBBFX,BCFBBX,BSFFBBX,BSBFFFFX,BSBFBFFFX,BBFFFFFFBX,BBFFFFBFFFX,BBFFFFFBFFFX
24,,,,,SBFBX,BCFBFX,BSFFBFX,BSFBBFFX,BSBFFBFFX,BBFFFFFFFX,BBFFFFFBFFX,BBFFFFFFBFFX
25,,,,,SBFFX,BCFFBX,BSFFFBX,BSFBFBFX,BSBFFFBFX,BSBBFFFFFX,BBFFFFFFBFX,BBFFFFFFFBFX
26,,,,,SFBBX,BCFFFX,BSFFFFX,BSFBFFBX,BSBFFFFBX,BSBFBFFFFX,BBFFFFFFFBX,BSBBFFFFFFFX
27,,,,,SFBFX,BFBBFX,BCBBFFX,BSFBFFFX,BSBFFFFFX,BSBFFBFFFX,BSBBFFFFFFX,BSBFBFFFFFFX
28,,,,,SFFBX,BFBFBX,BCBFBFX,BSFFBBFX,BSFBBFFFX,BSBFFFBFFX,BSBFBFFFFFX,BSBFFBFFFFFX
29,,,,,SFFFX,BFBFFX,BCBFFBX,BSFFBFBX,BSFBFBFFX,BSBFFFFBFX,BSBFFBFFFFX,BSBFFFBFFFFX
30,,,,,CBBBX,BFFBBX,BCBFFFX,BSFFBFFX,BSFBFFBFX,BSBFFFFFBX,BSBFFFBFFFX,BSBFFFFBFFFX
31,,,,,CBBFX,BFFBFX,BCFBBFX,BSFFFBBX,BSFBFFFBX,BSBFFFFFFX,BSBFFFFBFFX,BSBFFFFFBFFX
32,,,,,CBFBX,BFFFBX,BCFBFBX,BSFFFBFX,BSFBFFFFX,BSFBBFFFFX,BSBFFFFFBFX,BSBFFFFFFBFX
33,,,,,CBFFX,BFFFFX,BCFBFFX,BSFFFFBX,BSFFBBFFX,BSFBFBFFFX,BSBFFFFFFBX,BSBFFFFFFFBX
34,,,,,CFBBX,SBBBFX,BCFFBBX,BSFFFFFX,BSFFBFBFX,BSFBFFBFFX,BSBFFFFFFFX,BSFBBFFFFFFX
35,,,,,CFBFX,SBBFBX,BCFFBFX,BCBBFFFX,BSFFBFFBX,BSFBFFFBFX,BSFBBFFFFFX,BSFBFBFFFFFX
36,,,,,CFFBX,SBBFFX,BCFFFBX,BCBFBFFX,BSFFBFFFX,BSFBFFFFBX,BSFBFBFFFFX,BSFBFFBFFFFX
37,,,,,CFFFX,SBFBBX,BCFFFFX,BCBFFBFX,BSFFFBBFX,BSFBFFFFFX,BSFBFFBFFFX,BSFBFFFBFFFX
38,,,,,FBBBX,SBFBFX,BFBBFFX,BCBFFFBX,BSFFFBFBX,BSFFBBFFFX,BSFBFFFBFFX,BSFBFFFFBFFX
39,,,,,FBBFX,SBFFBX,BFBFBFX,BCBFFFFX,BSFFFBFFX,BSFFBFBFFX,BSFBFFFFBFX,BSFBFFFFFBFX
40,,,,,FBFBX,SBFFFX,BFBFFBX,BCFBBFFX,BSFFFFBBX,BSFFBFFBFX,BSFBFFFFFBX,BSFBFFFFFFBX
41,,,,,FBFFX,SFBBBX,BFBFFFX,BCFBFBFX,BSFFFFBFX,BSFFBFFFBX,BSFBFFFFFFX,BSFBFFFFFFFX
42,,,,,FFBBX,SFBBFX,BFFBBFX,BCFBFFBX,BSFFFFFBX,BSFFBFFFFX,BSFFBBFFFFX,BSFFBBFFFFFX
43,,,,,FFBFX,SFBFBX,BFFBFBX,BCFBFFFX,BSFFFFFFX,BSFFFBBFFX,BSFFBFBFFFX,BSFFBFBFFFFX
44,,,,,FFFBX,SFBFFX,BFFBFFX,BCFFBBFX,BCBBFFFFX,BSFFFBFBFX,BSFFBFFBFFX,BSFFBFFBFFFX
45,,,,,FFFFX,SFFBBX,BFFFBBX,BCFFBFBX,BCBFBFFFX,BSFFFBFFBX,BSFFBFFFBFX,BSFFBFFFBFFX
46,,,,,,SFFBFX,BFFFBFX,BCFFBFFX,BCBFFBFFX,BSFFFBFFFX,BSFFBFFFFBX,BSFFBFFFFBFX
47,,,,,,SFFFBX,BFFFFBX,BCFFFBBX,BCBFFFBFX,BSFFFFBBFX,BSFFBFFFFFX,BSFFBFFFFFBX
48,,,,,,SFFFFX,BFFFFFX,BCFFFBFX,BCBFFFFBX,BSFFFFBFBX,BSFFFBBFFFX,BSFFBFFFFFFX
49,,,,,,CBBBFX,SBBBFFX,BCFFFFBX,BCBFFFFFX,BSFFFFBFFX,BSFFFBFBFFX,BSFFFBBFFFFX
50,,,,,,CBBFBX,SBBFBFX,BCFFFFFX,BCFBBFFFX,BSFFFFFBBX,BSFFFBFFBFX,BSFFFBFBFFFX
51,,,,,,CBBFFX,SBBFFBX,BFBBFFFX,BCFBFBFFX,BSFFFFFBFX,BSFFFBFFFBX,BSFFFBFFBFFX
52,,,,,,CBFBBX,SBBFFFX,BFBFBFFX,BCFBFFBFX,BSFFFFFFBX,BSFFFBFFFFX,BSFFFBFFFBFX
53,,,,,,CBFBFX,SBFBBFX,BFBFFBFX,BCFBFFFBX,BSFFFFFFFX,BSFFFFBBFFX,BSFFFBFFFFBX
54,,,,,,CBFFBX,SBFBFBX,BFBFFFBX,BCFBFFFFX,BCBBFFFFFX,BSFFFFBFBFX,BSFFFBFFFFFX
55,,,,,,CBFFFX,SBFBFFX,BFBFFFFX,BCFFBBFFX,BCBFBFFFFX,BSFFFFBFFBX,BSFFFFBBFFFX
56,,,,,,CFBBBX,SBFFBBX,BFFBBFFX,BCFFBFBFX,BCBFFBFFFX,BSFFFFBFFFX,BSFFFFBFBFFX
57,,,,,,CFBBFX,SBFFBFX,BFFBFBFX,BCFFBFFBX,BCBFFFBFFX,BSFFFFFBBFX,BSFFFFBFFBFX
58,,,,,,CFBFBX,SBFFFBX,BFFBFFBX,BCFFBFFFX,BCBFFFFBFX,BSFFFFFBFBX,BSFFFFBFFFBX
