id,leag_id,TM,POS,AGE,FIRST,LAST,B,T,AVG,ERA,BABIP,K/9,BB/9,K/BB,H/9,HR/9,CLU,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,HBP,OUT,GROUNDOUT,FLYOUT,LINEOUT,POPOUT
1,16814,NYY,RP,34,Tim,Hill,R,L,0.285,3.36,0.316,4.16,2.55,1.63,10.34,0.27,0.24,0.343,0.372,0.285,0.201,0.51,0.289,0.20366598778004075,0.03054989816700611,0.0,0.014256619144602852,0.06924643584521385,0.15478615071283094,0.006109979633401222,0.5213849287169042,0.586046511627907,0.19534883720930232,0.16046511627906976,0.05813953488372093
2,15042,NYY,RP,32,Tim,Mayza,L,L,0.302,6.33,0.336,5.91,3.16,1.87,11.39,1.05,-0.84,0.344,0.397,0.258,0.146,0.596,0.258,0.1670886075949367,0.053164556962025315,0.005063291139240506,0.027848101265822784,0.07848101265822785,0.17721518987341772,0.007594936708860759,0.4835443037974684,0.4636363636363636,0.2787878787878788,0.18787878787878787,0.0696969696969697
3,21052,NYY,SP,26,Luis,Gil,R,R,0.188,3.5,0.237,10.15,4.57,2.22,6.17,1.07,0.59,0.429,0.305,0.266,0.168,0.511,0.321,0.0898876404494382,0.042134831460674156,0.0028089887640449437,0.026685393258426966,0.11376404494382023,0.2710674157303371,0.011235955056179775,0.44241573033707865,0.35728542914171657,0.3992015968063872,0.16367265469061876,0.07984031936127745
4,13125,NYY,SP,33,Gerrit,Cole,R,R,0.22,3.41,0.273,9.38,2.75,3.41,7.39,1.04,0.35,0.371,0.34,0.289,0.18,0.488,0.332,0.15593220338983052,0.03728813559322034,0.001694915254237288,0.025423728813559324,0.0711864406779661,0.2593220338983051,0.011864406779661017,0.43728813559322033,0.4166666666666667,0.3373015873015873,0.16071428571428573,0.08531746031746032
5,16137,NYY,SP,31,Carlos,Rodon,L,L,0.235,3.96,0.284,10.03,2.93,3.42,8.07,1.59,1.07,0.399,0.344,0.257,0.143,0.521,0.335,0.13209876543209875,0.04197530864197531,0.0049382716049382715,0.03950617283950617,0.07654320987654321,0.2641975308641975,0.012345679012345678,0.4283950617283951,0.3462214411247803,0.44112478031634444,0.1616871704745167,0.050966608084358524
6,19899,NYY,SP,28,Clarke,Schmidt,R,R,0.226,2.85,0.296,9.81,3.16,3.1,7.49,0.84,0.64,0.407,0.321,0.271,0.213,0.52,0.267,0.13562386980108498,0.03616636528028933,0.0054249547920434,0.0216998191681736,0.07775768535262206,0.26582278481012656,0.018083182640144666,0.4394213381555154,0.42764578833693306,0.31101511879049676,0.17278617710583152,0.08855291576673865
7,13649,NYY,RP,31,Clay,Holmes,R,R,0.244,3.14,0.322,9.71,3.14,3.09,8.57,0.57,-0.64,0.433,0.376,0.191,0.185,0.522,0.292,0.15286624203821655,0.040339702760084924,0.0,0.01910828025477707,0.07430997876857749,0.2526539278131635,0.008492569002123142,0.45222929936305734,0.5516372795969773,0.21914357682619648,0.15869017632241814,0.07052896725440806
8,13431,NYY,SP,33,Marcus,Stroman,R,R,0.275,4.31,0.312,6.58,3.49,1.88,9.72,1.11,1.4,0.4,0.394,0.207,0.148,0.527,0.325,0.168,0.04133333333333333,0.005333333333333333,0.028,0.08666666666666667,0.17333333333333334,0.010666666666666666,0.4866666666666667,0.4782608695652174,0.29391304347826086,0.19130434782608696,0.036521739130434785
9,16918,NYY,RP,30,Luke,Weaver,R,R,0.173,2.89,0.223,11.04,2.79,3.96,5.57,1.07,1.45,0.409,0.384,0.207,0.141,0.581,0.278,0.096045197740113,0.02824858757062147,0.007532956685499058,0.026365348399246705,0.0696798493408663,0.3088512241054614,0.009416195856873822,0.4538606403013183,0.4224137931034483,0.33405172413793105,0.16163793103448276,0.08189655172413793
10,19261,NYY,RP,29,Ian,Hamilton,R,R,0.253,3.82,0.34,9.8,3.35,2.93,8.84,0.48,0.82,0.39,0.324,0.286,0.133,0.657,0.21,0.14049586776859505,0.049586776859504134,0.0,0.01928374655647383,0.07713498622589532,0.25068870523415976,0.011019283746556474,0.45179063360881544,0.459375,0.26875,0.184375,0.0875
11,21620,NYY,RP,29,Jake,Cousins,R,R,0.154,2.37,0.208,12.55,4.74,2.65,4.74,1.18,0.22,0.377,0.416,0.208,0.234,0.506,0.26,0.09295774647887324,0.01971830985915493,0.0028169014084507044,0.02535211267605634,0.08732394366197183,0.3295774647887324,0.016901408450704224,0.4253521126760563,0.4591549295774648,0.27323943661971833,0.16338028169014085,0.10422535211267606
12,11384,NYY,RP,34,Tommy,Kahnle,R,R,0.19,2.11,0.234,9.7,4.01,2.42,6.33,1.05,0.0,0.491,0.357,0.152,0.125,0.616,0.259,0.10026385224274406,0.0395778364116095,0.0,0.023746701846965697,0.08179419525065963,0.2770448548812665,0.0079155672823219,0.46965699208443273,0.509641873278237,0.2534435261707989,0.15426997245179064,0.08264462809917356
