id,base_state,text_description
1,BASES_EMPTY,{pitcher} LOSES CONTROL AND PLUNKS {batter}—HE'LL TAKE FIRST BASE.
2,BASES_EMPTY,OUCH! {batter} GETS HIT BY THE PITCH AND TROTS TO FIRST.
3,BASES_EMPTY,{batter} TAKES ONE FOR THE TEAM AND HEADS TO FIRST BASE.
4,BASES_EMPTY,A WAYWARD PITCH FROM {pitcher} HITS {batter}—FREE PASS TO FIRST.
5,BASES_EMPTY,THAT ONE GOT AWAY FROM {pitcher}! {batter} IS AWARDED FIRST BASE.
6,BASES_EMPTY,{batter} WEARS IT! HIT BY PITCH AND DOWN TO FIRST HE GOES.
7,BASES_EMPTY,A PAINFUL WAY TO REACH BASE—{batter} GETS DRILLED AND TAKES FIRST.
8,BASES_EMPTY,"INSIDE FASTBALL CATCHES {batter}—HIT BY PITCH, HE'LL TAKE HIS BASE."
9,BASES_EMPTY,{batter} GETS DUSTED OFF—AND NOW HE'S AWARDED FIRST BASE.
10,BASES_EMPTY,HBP! {batter} SHAKES IT OFF AND TAKES THE FREE PASS.
11,RUNNER_ON_FIRST,{batter} IS HIT BY THE PITCH! RUNNERS NOW ON FIRST AND SECOND.
12,RUNNER_ON_FIRST,"OUCH! {batter} TAKES ONE, PUSHING THE RUNNER TO SECOND BASE."
13,RUNNER_ON_FIRST,"{pitcher} HITS {batter}—RUNNER ADVANCES, AND TROUBLE BREWS."
14,RUNNER_ON_FIRST,ANOTHER MISTAKE FROM {pitcher}—HBP! TWO ON NOW.
15,RUNNER_ON_FIRST,{batter} GRIMACES AS HE TAKES FIRST—RUNNER MOVES TO SECOND.
16,RUNNER_ON_FIRST,{pitcher} BEANS {batter}! FIRST AND SECOND NOW OCCUPIED.
17,RUNNER_ON_FIRST,"HIT BY PITCH! {batter} HEADS TO FIRST, RUNNER MOVES UP."
18,RUNNER_ON_FIRST,A DANGEROUS MISTAKE FROM {pitcher}! {batter} TROTS TO FIRST.
19,RUNNER_ON_FIRST,"HBP! {batter} GETS CLIPPED, AND THE BASE PATHS SHIFT."
20,RUNNER_ON_FIRST,"THAT ONE STUNG! {batter} TAKES HIS BASE, RUNNER UP TO SECOND."
21,RUNNER_ON_SECOND,"{batter} GETS HIT! NOW THERE ARE TWO ON, A SCORING THREAT."
22,RUNNER_ON_SECOND,INSIDE PITCH CATCHES {batter}! FIRST AND SECOND NOW.
23,RUNNER_ON_SECOND,"HIT BATTER! {pitcher} LOSES CONTROL, AND {batter} TAKES HIS BASE."
24,RUNNER_ON_SECOND,"A ROUGH MISTAKE FROM {pitcher}! {batter} ADVANCES, TWO ON NOW."
25,RUNNER_ON_SECOND,OUCH! {batter} GETS BEANED—NOW RUNNERS ON FIRST AND SECOND.
26,RUNNER_ON_SECOND,{batter} TAKES THE HIT! A BIG CHANCE NOW WITH TWO ON.
27,RUNNER_ON_SECOND,"HBP! {batter} TAKES FIRST, AND NOW THE PRESSURE BUILDS."
28,RUNNER_ON_SECOND,"{pitcher} LOSES GRIP, AND {batter} GETS AWARDED FIRST."
29,RUNNER_ON_SECOND,{batter} GETS DRILLED—PITCHER LOOKS FRUSTRATED!
30,RUNNER_ON_SECOND,HBP! {batter} WALKS IT OFF AND HEADS TO FIRST.
31,RUNNER_ON_THIRD,{batter} IS HIT! FIRST AND THIRD SITUATION NOW.
32,RUNNER_ON_THIRD,"OUCH! {pitcher} PLUNKS {batter}, SETTING UP A BIG OPPORTUNITY."
33,RUNNER_ON_THIRD,"HIT BY PITCH! {batter} TAKES FIRST, LEAVING RUNNERS AT THE CORNERS."
34,RUNNER_ON_THIRD,{batter} TAKES ONE OFF THE ARM—NOW TWO ON.
35,RUNNER_ON_THIRD,FIRST AND THIRD AFTER THAT HBP—PITCHER IN TROUBLE!
36,RUNNER_ON_THIRD,"{pitcher} MISSES HIS SPOT, AND {batter} TAKES FIRST."
37,RUNNER_ON_THIRD,A DANGEROUS MISTAKE FROM {pitcher}! RUNNERS AT THE CORNERS.
38,RUNNER_ON_THIRD,"{batter} GETS HIT! FIRST AND THIRD, A BIG CHANCE COMING UP."
39,RUNNER_ON_THIRD,"HBP! {batter} HEADS TO FIRST, BUT THE LEAD RUNNER STAYS PUT."
40,RUNNER_ON_THIRD,"{batter} SHAKES IT OFF—HE'S NOW ON FIRST, RUNNERS AT THE CORNERS!"
