id,base_state,text_description
1,BASES_EMPTY,{pitcher} ISSUES A FREE PASS TO {batter}.
2,BASES_EMPTY,{batter} WORKS A WALK AND TAKES FIRST BASE.
3,BASES_EMPTY,BALL FOUR! {batter} TROTS DOWN TO FIRST WITHOUT A SWING.
4,BASES_EMPTY,{pitcher} MISSES LOW—{batter} EARNS A WALK!
5,BASES_EMPTY,{batter} WATCHES BALL FOUR AND HEADS TO FIRST.
6,BASES_EMPTY,A DISCIPLINED EYE FROM {batter} RESULTS IN A BASE ON BALLS.
7,BASES_EMPTY,FOUR WIDE ONES FROM {pitcher}—{batter} TAKES FIRST.
8,BASES_EMPTY,"{pitcher} CAN'T FIND THE ZONE, AND {batter} WALKS EASILY."
9,BASES_EMPTY,"PATIENT AT THE PLATE, {batter} EARNS A FREE PASS."
10,BASES_EMPTY,"ANOTHER BALL FROM {pitcher}, AND {batter} TAKES HIS BASE."
11,RUNNER_ON_FIRST,"BALL FOUR! {batter} WALKS, PUSHING THE RUNNER TO SECOND."
12,RUNNER_ON_FIRST,"{pitcher} LOSES CONTROL—{batter} TAKES FIRST, MOVING THE RUNNER UP."
13,RUNNER_ON_FIRST,"A WELL-TIMED WALK! {batter} ADVANCES, RUNNER MOVES TO SCORING POSITION."
14,RUNNER_ON_FIRST,FOUR BALLS! {batter} REACHES AND THE LEAD RUNNER MOVES UP.
15,RUNNER_ON_FIRST,"DISCIPLINE PAYS OFF! {batter} TAKES FIRST, RUNNER ON SECOND NOW."
16,RUNNER_ON_FIRST,"{pitcher} STRUGGLES TO LOCATE—{batter} WALKS, PUSHING THE RUNNER FORWARD."
17,RUNNER_ON_FIRST,"BALL FOUR! THE BATTER WALKS, FORCING A SHIFT IN THE BASE PATHS."
18,RUNNER_ON_FIRST,THE BATTER HOLDS OFF AND TAKES HIS FREE PASS—RUNNER ON SECOND!
19,RUNNER_ON_FIRST,"THAT WALK PUTS THE DOUBLE PLAY IN ORDER, AS {batter} REACHES FIRST."
20,RUNNER_ON_FIRST,"A PATIENT EYE FROM {batter}—BALL FOUR, AND THE RUNNER ADVANCES!"
21,RUNNER_ON_SECOND,"BALL FOUR! {batter} WALKS, LEAVING TWO IN SCORING POSITION."
22,RUNNER_ON_SECOND,"A FREE PASS ISSUED—{batter} TAKES FIRST, RUNNER HOLDS AT SECOND."
23,RUNNER_ON_SECOND,{batter} TAKES HIS BASE AS {pitcher} MISSES AGAIN.
24,RUNNER_ON_SECOND,"FOUR STRAIGHT BALLS! {batter} HEADS TO FIRST, RUNNER REMAINS AT SECOND."
25,RUNNER_ON_SECOND,"ANOTHER BALL! {batter} WALKS, CREATING A SCORING CHANCE."
